Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped,Team
1,Noor Ahmad,"2,00,00,000","10,00,00,000",Capped, Chennai Super Kings
2,Ravichandaran Ashwin,"2,00,00,000","9,75,00,000",Capped, Chennai Super Kings
3,Devon Conway,"2,00,00,000","6,25,00,000",Capped, Chennai Super Kings
4,Syed Khaleel Ahmed,"2,00,00,000","4,80,00,000",Capped, Chennai Super Kings
5,Rachin Ravindra,"1,50,00,000","4,00,00,000",Capped, Chennai Super Kings
6,Anshul Kamboj,"30,00,000","3,40,00,000",Uncapped, Chennai Super Kings
7,Rahul Tripathi,"75,00,000","3,40,00,000",Capped, Chennai Super Kings
8,Sam Curran,"2,00,00,000","2,40,00,000",Capped, Chennai Super Kings
9,Gurjapneet Singh,"30,00,000","2,20,00,000",Uncapped, Chennai Super Kings
10,Nathan Ellis,"1,25,00,000","2,00,00,000",Capped, Chennai Super Kings
11,Deepak Hooda,"75,00,000","1,70,00,000",Capped, Chennai Super Kings
12,Jamie Overton,"1,50,00,000","1,50,00,000",Capped, Chennai Super Kings
13,Vijay Shankar,"30,00,000","1,20,00,000",Uncapped, Chennai Super Kings
14,Vansh Bedi,"30,00,000","55,00,000",Uncapped, Chennai Super Kings
15,Andre Siddarth,"30,00,000","30,00,000",Uncapped, Chennai Super Kings
16,Shreyas Gopal,"30,00,000","30,00,000",Uncapped, Chennai Super Kings
17,Ramakrishna Ghosh,"30,00,000","30,00,000",Uncapped, Chennai Super Kings
18,Kamlesh Nagarkoti,"30,00,000","30,00,000",Uncapped, Chennai Super Kings
19,Mukesh Choudhary,"30,00,000","30,00,000",Uncapped, Chennai Super Kings
20,Shaik Rasheed,"30,00,000","30,00,000",Uncapped, Chennai Super Kings
21,KL Rahul,"2,00,00,000","14,00,00,000",Capped, Delhi Capitals
22,Mitchell Starc,"2,00,00,000","11,75,00,000",Capped, Delhi Capitals
23,T. Natarajan,"2,00,00,000","10,75,00,000",Capped, Delhi Capitals
24,Jake Fraser-Mcgurk,"2,00,00,000","9,00,00,000",Capped, Delhi Capitals
25,Mukesh Kumar,"2,00,00,000","8,00,00,000",Capped, Delhi Capitals
26,Harry Brook,"2,00,00,000","6,25,00,000",Capped, Delhi Capitals
27,Ashutosh Sharma,"30,00,000","3,80,00,000",Uncapped, Delhi Capitals
28,Mohit Sharma,"50,00,000","2,20,00,000",Uncapped, Delhi Capitals
29,Faf Du Plessis,"2,00,00,000","2,00,00,000",Capped, Delhi Capitals
30,Sameer Rizvi,"30,00,000","95,00,000",Uncapped, Delhi Capitals
31,Donovan Ferreira,"75,00,000","75,00,000",Capped, Delhi Capitals
32,Dushmantha Chameera,"75,00,000","75,00,000",Capped, Delhi Capitals
33,Vipraj Nigam,"30,00,000","50,00,000",Uncapped, Delhi Capitals
34,Karun Nair,"30,00,000","50,00,000",Uncapped, Delhi Capitals
35,Madhav Tiwari,"30,00,000","40,00,000",Uncapped, Delhi Capitals
36,Tripurana Vijay,"30,00,000","30,00,000",Uncapped, Delhi Capitals
37,Manvanth Kumar L,"30,00,000","30,00,000",Uncapped, Delhi Capitals
38,Ajay Mandal,"30,00,000","30,00,000",Uncapped, Delhi Capitals
39,Darshan Nalkande,"30,00,000","30,00,000",Uncapped, Delhi Capitals
40,Jos  Buttler,"2,00,00,000","15,75,00,000",Capped, Gujarat Titans
41,Mohammad Siraj,"2,00,00,000","12,25,00,000",Capped, Gujarat Titans
42,Kagiso Rabada,"2,00,00,000","10,75,00,000",Capped, Gujarat Titans
43,Prasidh Krishna,"2,00,00,000","9,50,00,000",Capped, Gujarat Titans
44,Washington Sundar,"2,00,00,000","3,20,00,000",Capped, Gujarat Titans
45,Sherfane Rutherford,"1,50,00,000","2,60,00,000",Capped, Gujarat Titans
46,Gerald Coetzee,"1,25,00,000","2,40,00,000",Capped, Gujarat Titans
47,Glenn Phillips,"2,00,00,000","2,00,00,000",Capped, Gujarat Titans
48,R. Sai Kishore,"75,00,000","2,00,00,000",Capped, Gujarat Titans
49,Mahipal Lomror,"50,00,000","1,70,00,000",Uncapped, Gujarat Titans
50,Gurnoor Singh Brar,"30,00,000","1,30,00,000",Uncapped, Gujarat Titans
51,Mohd. Arshad Khan,"30,00,000","1,30,00,000",Uncapped, Gujarat Titans
52,Karim Janat,"75,00,000","75,00,000",Capped, Gujarat Titans
53,Jayant Yadav,"75,00,000","75,00,000",Capped, Gujarat Titans
54,Ishant Sharma,"75,00,000","75,00,000",Capped, Gujarat Titans
55,Kumar Kushagra,"30,00,000","65,00,000",Uncapped, Gujarat Titans
56,Kulwant Khejroliya,"30,00,000","30,00,000",Uncapped, Gujarat Titans
57,Manav Suthar,"30,00,000","30,00,000",Uncapped, Gujarat Titans
58,Anuj Rawat,"30,00,000","30,00,000",Uncapped, Gujarat Titans
59,Nishant Sindhu,"30,00,000","30,00,000",Uncapped, Gujarat Titans
60,Venkatesh Iyer,"2,00,00,000","23,75,00,000",Capped, Kolkata Knight Riders
61,Anrich Nortje,"2,00,00,000","6,50,00,000",Capped, Kolkata Knight Riders
62,Quinton De Kock,"2,00,00,000","3,60,00,000",Capped, Kolkata Knight Riders
63,Angkrish Raghuvanshi,"30,00,000","3,00,00,000",Uncapped, Kolkata Knight Riders
64,Spencer Johnson,"2,00,00,000","2,80,00,000",Capped, Kolkata Knight Riders
65,Moeen Ali,"2,00,00,000","2,00,00,000",Capped, Kolkata Knight Riders
66,Rahmanullah Gurbaz,"2,00,00,000","2,00,00,000",Capped, Kolkata Knight Riders
67,Vaibhav Arora,"30,00,000","1,80,00,000",Uncapped, Kolkata Knight Riders
68,Ajinkya Rahane,"1,50,00,000","1,50,00,000",Capped, Kolkata Knight Riders
69,Rovman Powell,"1,50,00,000","1,50,00,000",Capped, Kolkata Knight Riders
70,Umran  Malik,"75,00,000","75,00,000",Capped, Kolkata Knight Riders
71,Manish Pandey,"75,00,000","75,00,000",Capped, Kolkata Knight Riders
72,Anukul Roy,"30,00,000","40,00,000",Uncapped, Kolkata Knight Riders
73,Luvnith Sisodia,"30,00,000","30,00,000",Uncapped, Kolkata Knight Riders
74,Mayank Markande,"30,00,000","30,00,000",Uncapped, Kolkata Knight Riders
